jenis_kelamin,jurusan,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,real_target
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,3,4,3,3,3,4,4,3,4,4,5,5,5,5,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,5,4,3,4,4,3,4,3,2,2,2,2,3,Kinestetik
Perempuan,KEPERAWATAN,2,3,1,3,5,3,2,4,3,3,5,2,3,4,1,Auditori
Laki-laki,Desain Komunikasi Visual,3,4,5,1,5,5,1,5,5,1,1,1,1,1,5,Kinestetik
Laki-laki,Kurikulum Merdeka,4,3,5,4,3,3,3,4,3,5,2,4,3,2,4,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,4,5,4,5,5,3,3,4,2,3,2,2,2,4,Kinestetik
Perempuan,KEPERAWATAN,1,2,2,5,4,3,4,5,5,3,3,4,4,3,2,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,5,5,3,5,5,5,4,5,5,3,4,3,5,5,Kinestetik
Perempuan,Siswa Menengah Pertama,2,4,5,3,4,2,4,3,4,1,2,4,2,3,3,Kinestetik
Perempuan,IPS,2,4,5,2,3,5,3,2,4,1,5,3,2,4,4,Kinestetik
Laki-laki,Teknik Mesin,1,3,5,3,2,4,2,5,4,1,2,3,5,3,3,Kinestetik
Laki-laki,Desain dan Produksi Kriya,2,5,1,4,3,3,1,2,5,4,2,2,4,5,5,Visual
Laki-laki,Siswa Menengah Pertama,4,5,3,4,5,4,5,2,5,3,2,4,3,1,5,Visual
Perempuan,Desain dan Produksi Kriya,1,4,5,3,1,1,3,3,5,5,4,2,1,3,4,Kinestetik
Perempuan,Lainnya,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,Auditori
Perempuan,Kurikulum Merdeka,2,3,4,2,5,3,1,4,3,5,5,2,3,4,2,Auditori
Perempuan,Kurikulum Merdeka,3,5,5,4,5,5,5,5,5,5,5,5,2,4,5,Kinestetik
Laki-laki,Nautika Kapal Penangkap Ikan,5,5,5,5,5,3,4,2,1,3,4,2,4,5,5,Auditori
Laki-laki,Desain Pemodelan dan Informasi Bangunan,4,3,5,3,4,5,2,1,4,3,1,4,5,2,1,Visual
Laki-laki,Siswa Menengah Pertama,3,5,5,3,4,3,3,2,4,3,3,4,3,2,3,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Kinestetik
Laki-laki,Siswa Menengah Pertama,5,3,4,4,2,4,5,1,2,3,1,3,1,4,2,Visual
Perempuan,Desain Pemodelan dan Informasi Bangunan,4,2,1,5,2,1,3,2,4,2,5,2,1,2,4,Visual
Laki-laki,Desain dan Produksi Kriya,4,2,2,3,1,2,4,3,4,4,2,3,3,1,2,Visual
Laki-laki,Siswa Menengah Pertama,5,4,5,3,4,5,5,3,5,2,3,4,4,4,3,Kinestetik
Perempuan,Farmasi,3,5,5,3,4,5,4,4,5,2,3,2,2,2,4,Kinestetik
Perempuan,Teknik Instalasi Tenaga Listrik,2,4,5,3,2,4,5,1,3,2,5,4,2,4,3,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,5,4,3,4,4,4,4,4,3,5,4,4,5,5,Auditori
Laki-laki,Akuntansi,4,2,5,1,4,5,3,1,2,5,4,1,3,5,2,Visual
Perempuan,Teknik Mesin,5,5,4,4,3,5,4,4,5,3,2,4,2,2,3,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,2,4,3,1,3,2,2,5,3,2,2,1,3,4,2,Auditori
Laki-laki,Teknik Instalasi Tenaga Listrik,5,3,3,2,4,3,1,1,2,4,4,3,4,2,4,Visual
Perempuan,Siswa Menengah Pertama,5,5,3,4,4,5,5,5,5,3,4,4,4,3,5,Kinestetik
Laki-laki,Kurikulum Merdeka,3,5,4,2,5,4,4,3,4,3,5,3,2,5,4,Auditori
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,4,5,5,4,3,5,4,3,4,2,3,4,2,1,4,Kinestetik
Laki-laki,Desain Komunikasi Visual,4,5,4,4,5,4,4,3,4,2,3,3,2,5,4,Kinestetik
